coding,selectable,parent_id,node_id,meaning,Level
421,N,42,421,Secretarial And Related Occupations,2.0
511,N,51,511,Agricultural Trades,2.0
521,N,52,521,"Metal Forming, Welding And Related Trades",2.0
522,N,52,522,"Metal Machining, Fitting And Instrument Making Trades",2.0
523,N,52,523,Vehicle Trades,2.0
524,N,52,524,Electrical Trades,2.0
531,N,53,531,Construction Trades,2.0
532,N,53,532,Building Trades,2.0
541,N,54,541,Textiles And Garments Trades,2.0
542,N,54,542,Printing Trades,2.0
543,N,54,543,Food Preparation Trades,2.0
549,N,54,549,Skilled Trades n.e.c.,2.0
611,N,61,611,Healthcare And Related Personal Services,2.0
612,N,61,612,Childcare And Related Personal Services,2.0
613,N,61,613,Animal Care Services,2.0
621,N,62,621,Leisure And Travel Service Occupations,2.0
622,N,62,622,Hairdressers And Related Occupations,2.0
623,N,62,623,Housekeeping Occupations,2.0
629,N,62,629,Personal Services Occupations n.e.c.,2.0
711,N,71,711,Sales Assistants And Retail Cashiers,2.0
712,N,71,712,Sales Related Occupations,2.0
721,N,72,721,Customer Service Occupations,2.0
811,N,81,811,Process Operatives,2.0
812,N,81,812,Plant And Machine Operatives,2.0
813,N,81,813,Assemblers And Routine Operatives,2.0
814,N,81,814,Construction Operatives,2.0
821,N,82,821,Transport Drivers And Operatives,2.0
822,N,82,822,Mobile Machine Drivers And Operatives,2.0
911,N,91,911,Elementary Agricultural Occupations,2.0
912,N,91,912,Elementary Construction Occupations,2.0
913,N,91,913,Elementary Process Plant Occupations,2.0
914,N,91,914,Elementary Goods Storage Occupations,2.0
921,N,92,921,Elementary Administration Occupations,2.0
922,N,92,922,Elementary Personal Services Occupations,2.0
923,N,92,923,Elementary Cleaning Occupations,2.0
924,N,92,924,Elementary Security Occupations,2.0
925,N,92,925,Elementary Sales Occupations,2.0
1111,N,111,1111,Senior officials in national government,3.0
1112,N,111,1112,Directors and chief executives of major organisations,3.0
1113,N,111,1113,Senior officials in local government,3.0
1114,N,111,1114,Senior officials of special interest organisations,3.0
1121,N,112,1121,"Production, works and maintenance managers",3.0
1122,N,112,1122,Managers in construction,3.0
1123,N,112,1123,Managers in mining and energy,3.0
1131,N,113,1131,Financial managers and chartered secretaries,3.0
1132,N,113,1132,Marketing and sales managers,3.0
1133,N,113,1133,Purchasing managers,3.0
1134,N,113,1134,Advertising and public relations managers,3.0
1135,N,113,1135,"Personnel, training and industrial relations managers",3.0
1136,N,113,1136,Information and communication technology managers,3.0
1137,N,113,1137,Research and development managers,3.0
1141,N,114,1141,Quality assurance managers,3.0
1142,N,114,1142,Customer care managers,3.0
1151,N,115,1151,Financial institution managers,3.0
1152,N,115,1152,Office managers,3.0
1161,N,116,1161,Transport and distribution managers,3.0
1162,N,116,1162,Storage and warehouse managers,3.0
1163,N,116,1163,Retail and wholesale managers,3.0
1171,N,117,1171,Officers in armed forces,3.0
1172,N,117,1172,Police officers (inspectors and above),3.0
1173,N,117,1173,"Senior officers in fire, ambulance, prison and related services",3.0
1174,N,117,1174,Security managers,3.0
1181,N,118,1181,Hospital and health service managers,3.0
1182,N,118,1182,Pharmacy managers,3.0
1183,N,118,1183,Healthcare practice managers,3.0
1184,N,118,1184,Social services managers,3.0
1185,N,118,1185,Residential and day care managers,3.0
1211,N,121,1211,Farm managers,3.0
1212,N,121,1212,Natural environment and conservation managers,3.0
1219,N,121,1219,"Managers in animal husbandry, forestry and fishing n.e.c.",3.0
1221,N,122,1221,Hotel and accommodation managers,3.0
1222,N,122,1222,Conference and exhibition managers,3.0
1223,N,122,1223,Restaurant and catering managers,3.0
1224,N,122,1224,Publicans and managers of licensed premises,3.0
1225,N,122,1225,Leisure and sports managers,3.0
1226,N,122,1226,Travel agency managers,3.0
1231,N,123,1231,"Property, housing and land managers",3.0
1232,N,123,1232,Garage managers and proprietors,3.0
1233,N,123,1233,Hairdressing and beauty salon managers and proprietors,3.0
1234,N,123,1234,Shopkeepers and wholesale/retail dealers,3.0
1235,N,123,1235,Recycling and refuse disposal managers,3.0
1239,N,123,1239,Managers and proprietors in other services n.e.c.,3.0
2111,N,211,2111,Chemists,3.0
2112,N,211,2112,Biological scientists and biochemists,3.0
2113,N,211,2113,"Physicists, geologists and meteorologists",3.0
2121,N,212,2121,Civil engineers,3.0
2122,N,212,2122,Mechanical engineers,3.0
2123,N,212,2123,Electrical engineers,3.0
2124,N,212,2124,Electronics engineers,3.0
2125,N,212,2125,Chemical engineers,3.0
2126,N,212,2126,Design and development engineers,3.0
2127,N,212,2127,Production and process engineers,3.0
2128,N,212,2128,Planning and quality control engineers,3.0
2129,N,212,2129,Engineering professionals n.e.c.,3.0
2131,N,213,2131,IT strategy and planning professionals,3.0
2132,N,213,2132,Software professionals,3.0
2211,N,221,2211,Medical practitioners,3.0
2212,N,221,2212,Psychologists,3.0
2213,N,221,2213,Pharmacists/pharmacologists,3.0
2214,N,221,2214,Ophthalmic opticians,3.0
2215,N,221,2215,Dental practitioners,3.0
2216,N,221,2216,Veterinarians,3.0
2311,N,231,2311,Higher education teaching professionals,3.0
2312,N,231,2312,Further education teaching professionals,3.0
2313,N,231,2313,"Education officers, school inspectors",3.0
2314,N,231,2314,Secondary education teaching professionals,3.0
2315,N,231,2315,Primary and nursery education teaching professionals,3.0
2316,N,231,2316,Special needs education teaching professionals,3.0
2317,N,231,2317,Registrars and senior administrators of educational establishments,3.0
2319,N,231,2319,Teaching professionals n.e.c.,3.0
2321,N,232,2321,Scientific researchers,3.0
2322,N,232,2322,Social science researchers,3.0
2329,N,232,2329,Researchers n.e.c.,3.0
2411,N,241,2411,"Solicitors and lawyers, judges and coroners",3.0
2419,N,241,2419,Legal professionals n.e.c.,3.0
2421,N,242,2421,Chartered and certified accountants,3.0
2422,N,242,2422,Management accountants,3.0
2423,N,242,2423,"Management consultants, actuaries, economists and statisticians",3.0
2431,N,243,2431,Architects,3.0
2432,N,243,2432,Town planners,3.0
2433,N,243,2433,Quantity surveyors,3.0
2434,N,243,2434,Chartered surveyors (not quantity surveyors),3.0
2441,N,244,2441,Public service administrative professionals,3.0
2442,N,244,2442,Social workers,3.0
2443,N,244,2443,Probation officers,3.0
2444,N,244,2444,Clergy,3.0
2451,N,245,2451,Librarians,3.0
2452,N,245,2452,Archivists and curators,3.0
3111,N,311,3111,Laboratory technicians,3.0
3112,N,311,3112,Electrical/electronics technicians,3.0
3113,N,311,3113,Engineering technicians,3.0
3114,N,311,3114,Building and civil engineering technicians,3.0
3115,N,311,3115,Quality assurance technicians,3.0
3119,N,311,3119,Science and engineering technicians n.e.c.,3.0
3121,N,312,3121,Architectural technologists and town planning technicians,3.0
3122,N,312,3122,Draughtspersons,3.0
3123,N,312,3123,Building inspectors,3.0
3131,N,313,3131,IT operations technicians,3.0
3132,N,313,3132,IT user support technicians,3.0
3211,N,321,3211,Nurses,3.0
3212,N,321,3212,Midwives,3.0
3213,N,321,3213,Paramedics,3.0
3214,N,321,3214,Medical radiographers,3.0
3215,N,321,3215,Chiropodists,3.0
3216,N,321,3216,Dispensing opticians,3.0
3217,N,321,3217,Pharmaceutical dispensers,3.0
3218,N,321,3218,Medical and dental technicians,3.0
3221,N,322,3221,Physiotherapists,3.0
3222,N,322,3222,Occupational therapists,3.0
3223,N,322,3223,Speech and language therapists,3.0
3229,N,322,3229,Therapists n.e.c.,3.0
3231,N,323,3231,Youth and community workers,3.0
3232,N,323,3232,Housing and welfare officers,3.0
3311,N,331,3311,NCOs and other ranks,3.0
3312,N,331,3312,Police officers (sergeant and below),3.0
3313,N,331,3313,Fire service officers (leading fire officer and below),3.0
3314,N,331,3314,Prison service officers (below principal officer),3.0
3319,N,331,3319,Protective service associate professionals n.e.c.,3.0
3411,N,341,3411,Artists,3.0
3412,N,341,3412,"Authors, writers",3.0
3413,N,341,3413,"Actors, entertainers",3.0
3414,N,341,3414,Dancers and choreographers,3.0
3415,N,341,3415,Musicians,3.0
3416,N,341,3416,"Arts officers, producers and directors",3.0
3421,N,342,3421,Graphic designers,3.0
3422,N,342,3422,"Product, clothing and related designers",3.0
3431,N,343,3431,"Journalists, newspaper and periodical editors",3.0
3432,N,343,3432,Broadcasting associate professionals,3.0
3433,N,343,3433,Public relations officers,3.0
3434,N,343,3434,Photographers and audio-visual equipment operators,3.0
3441,N,344,3441,Sports players,3.0
3442,N,344,3442,"Sports coaches, instructors and officials",3.0
3443,N,344,3443,Fitness instructors,3.0
3449,N,344,3449,Sports and fitness occupations n.e.c.,3.0
3511,N,351,3511,Air traffic controllers,3.0
3512,N,351,3512,Aircraft pilots and flight engineers,3.0
3513,N,351,3513,Ship and hovercraft officers,3.0
3514,N,351,3514,Train drivers,3.0
3520,N,352,3520,Legal associate professionals,3.0
3531,N,353,3531,"Estimators, valuers and assessors",3.0
3532,N,353,3532,Brokers,3.0
3533,N,353,3533,Insurance underwriters,3.0
3534,N,353,3534,Finance and investment analysts/advisers,3.0
3535,N,353,3535,Taxation experts,3.0
3536,N,353,3536,"Importers, exporters",3.0
3537,N,353,3537,Financial and accounting technicians,3.0
3539,N,353,3539,Business and related associate professionals n.e.c.,3.0
3541,N,354,3541,Buyers and purchasing officers,3.0
3542,N,354,3542,Sales representatives,3.0
3543,N,354,3543,Marketing associate professionals,3.0
3544,N,354,3544,"Estate agents, auctioneers",3.0
3551,N,355,3551,Conservation and environmental protection officers,3.0
3552,N,355,3552,Countryside and park rangers,3.0
3561,N,356,3561,Public service associate professionals,3.0
3562,N,356,3562,Personnel and industrial relations officers,3.0
3563,N,356,3563,Vocational and industrial trainers and instructors,3.0
3564,N,356,3564,Careers advisers and vocational guidance specialists,3.0
3565,N,356,3565,"Inspectors of factories, utilities and trading standards",3.0
3566,N,356,3566,Statutory examiners,3.0
3567,N,356,3567,Occupational hygienists and safety officers (health and safety),3.0
3568,N,356,3568,Environmental health officers,3.0
4111,N,411,4111,Civil Service executive officers,3.0
4112,N,411,4112,Civil Service administrative officers and assistants,3.0
4113,N,411,4113,Local government clerical officers and assistants,3.0
4114,N,411,4114,Officers of non-governmental organisations,3.0
4121,N,412,4121,Credit controllers,3.0
4122,N,412,4122,"Accounts and wages clerks, book-keepers, other financial clerks",3.0
4123,N,412,4123,Counter clerks,3.0
4131,N,413,4131,Filing and other records assistants/clerks,3.0
4132,N,413,4132,Pensions and insurance clerks,3.0
4133,N,413,4133,Stock control clerks,3.0
4134,N,413,4134,Transport and distribution clerks,3.0
4135,N,413,4135,Library assistants/clerks,3.0
4136,N,413,4136,Database assistants/clerks,3.0
4137,N,413,4137,Market research interviewers,3.0
4141,N,414,4141,Telephonists,3.0
4142,N,414,4142,Communication operators,3.0
4150,N,415,4150,General office assistants/clerks,3.0
4211,N,421,4211,Medical secretaries,3.0
4212,N,421,4212,Legal secretaries,3.0
4213,N,421,4213,School secretaries,3.0
4214,N,421,4214,Company secretaries,3.0
4215,N,421,4215,Personal assistants and other secretaries,3.0
4216,N,421,4216,Receptionists,3.0
4217,N,421,4217,Typists,3.0
5111,N,511,5111,Farmers,3.0
5112,N,511,5112,Horticultural trades,3.0
5113,N,511,5113,Gardeners and groundsmen/groundswomen,3.0
5119,N,511,5119,Agricultural and fishing trades n.e.c.,3.0
5211,N,521,5211,Smiths and forge workers,3.0
5212,N,521,5212,"Moulders, core makers, die casters",3.0
5213,N,521,5213,Sheet metal workers,3.0
5214,N,521,5214,"Metal plate workers, shipwrights, riveters",3.0
5215,N,521,5215,Welding trades,3.0
5216,N,521,5216,Pipe fitters,3.0
5221,N,522,5221,Metal machining setters and setter-operators,3.0
5222,N,522,5222,"Tool makers, tool fitters and markers-out",3.0
5223,N,522,5223,Metal working production and maintenance fitters,3.0
5224,N,522,5224,Precision instrument makers and repairers,3.0
5231,N,523,5231,"Motor mechanics, auto engineers",3.0
5232,N,523,5232,Vehicle body builders and repairers,3.0
5233,N,523,5233,Auto electricians,3.0
5234,N,523,5234,Vehicle spray painters,3.0
5241,N,524,5241,"Electricians, electrical fitters",3.0
5242,N,524,5242,Telecommunications engineers,3.0
5243,N,524,5243,Lines repairers and cable jointers,3.0
5244,N,524,5244,"TV, video and audio engineers",3.0
5245,N,524,5245,"Computer engineers, installation and maintenance",3.0
5249,N,524,5249,Electrical/electronics engineers n.e.c.,3.0
5311,N,531,5311,Steel erectors,3.0
5312,N,531,5312,"Bricklayers, masons",3.0
5313,N,531,5313,"Roofers, roof tilers and slaters",3.0
5314,N,531,5314,"Plumbers, heating and ventilating engineers",3.0
5315,N,531,5315,Carpenters and joiners,3.0
5316,N,531,5316,"Glaziers, window fabricators and fitters",3.0
5319,N,531,5319,Construction trades n.e.c.,3.0
5321,N,532,5321,Plasterers,3.0
5322,N,532,5322,Floorers and wall tilers,3.0
5323,N,532,5323,Painters and decorators,3.0
5411,N,541,5411,Weavers and knitters,3.0
5412,N,541,5412,Upholsterers,3.0
5413,N,541,5413,Leather and related trades,3.0
5414,N,541,5414,Tailors and dressmakers,3.0
5419,N,541,5419,"Textiles, garments and related trades n.e.c.",3.0
5421,N,542,5421,"Originators, compositors and print preparers",3.0
5422,N,542,5422,Printers,3.0
5423,N,542,5423,Bookbinders and print finishers,3.0
5424,N,542,5424,Screen printers,3.0
5431,N,543,5431,"Butchers, meat cutters",3.0
5432,N,543,5432,"Bakers, flour confectioners",3.0
5433,N,543,5433,"Fishmongers, poultry dressers",3.0
5434,N,543,5434,"Chefs, cooks",3.0
5491,N,549,5491,"Glass and ceramics makers, decorators and finishers",3.0
5492,N,549,5492,"Furniture makers, other craft woodworkers",3.0
5493,N,549,5493,Pattern makers (moulds),3.0
5494,N,549,5494,Musical instrument makers and tuners,3.0
5495,N,549,5495,"Goldsmiths, silversmiths, precious stone workers",3.0
5496,N,549,5496,"Floral arrangers, florists",3.0
5499,N,549,5499,Hand craft occupations n.e.c.,3.0
6111,N,611,6111,Nursing auxiliaries and assistants,3.0
6112,N,611,6112,Ambulance staff (excluding paramedics),3.0
6113,N,611,6113,Dental nurses,3.0
6114,N,611,6114,Houseparents and residential wardens,3.0
6115,N,611,6115,Care assistants and home carers,3.0
6121,N,612,6121,Nursery nurses,3.0
6122,N,612,6122,Childminders and related occupations,3.0
6123,N,612,6123,Playgroup leaders/assistants,3.0
6124,N,612,6124,Educational assistants,3.0
6131,N,613,6131,Veterinary nurses and assistants,3.0
6139,N,613,6139,Animal care occupations n.e.c.,3.0
6211,N,621,6211,Sports and leisure assistants,3.0
6212,N,621,6212,Travel agents,3.0
6213,N,621,6213,Travel and tour guides,3.0
6214,N,621,6214,Air travel assistants,3.0
6215,N,621,6215,Rail travel assistants,3.0
6219,N,621,6219,Leisure and travel service occupations n.e.c.,3.0
6221,N,622,6221,"Hairdressers, barbers",3.0
6222,N,622,6222,Beauticians and related occupations,3.0
6231,N,623,6231,Housekeepers and related occupations,3.0
6232,N,623,6232,Caretakers,3.0
6291,N,629,6291,Undertakers and mortuary assistants,3.0
6292,N,629,6292,Pest control officers,3.0
7111,N,711,7111,Sales and retail assistants,3.0
7112,N,711,7112,Retail cashiers and check-out operators,3.0
7113,N,711,7113,Telephone salespersons,3.0
7121,N,712,7121,Collector salespersons and credit agents,3.0
7122,N,712,7122,"Debt, rent and other cash collectors",3.0
7123,N,712,7123,Roundsmen/women and van salespersons,3.0
7124,N,712,7124,Market and street traders and assistants,3.0
7125,N,712,7125,Merchandisers and window dressers,3.0
7129,N,712,7129,Sales related occupations n.e.c.,3.0
7211,N,721,7211,Call centre agents/operators,3.0
7212,N,721,7212,Customer care occupations,3.0
8111,N,811,8111,"Food, drink and tobacco process operatives",3.0
8112,N,811,8112,Glass and ceramics process operatives,3.0
8113,N,811,8113,Textile process operatives,3.0
8114,N,811,8114,Chemical and related process operatives,3.0
8115,N,811,8115,Rubber process operatives,3.0
8116,N,811,8116,Plastics process operatives,3.0
8117,N,811,8117,Metal making and treating process operatives,3.0
8118,N,811,8118,Electroplaters,3.0
8119,N,811,8119,Process operatives n.e.c.,3.0
8121,N,812,8121,Paper and wood machine operatives,3.0
8122,N,812,8122,Coal mine operatives,3.0
8123,N,812,8123,Quarry workers and related operatives,3.0
8124,N,812,8124,Energy plant operatives,3.0
8125,N,812,8125,Metal working machine operatives,3.0
8126,N,812,8126,Water and sewerage plant operatives,3.0
8129,N,812,8129,Plant and machine operatives n.e.c.,3.0
8131,N,813,8131,Assemblers (electrical products),3.0
8132,N,813,8132,Assemblers (vehicles and metal goods),3.0
8133,N,813,8133,Routine inspectors and testers,3.0
8134,N,813,8134,"Weighers, graders, sorters",3.0
8135,N,813,8135,"Tyre, exhaust and windscreen fitters",3.0
8136,N,813,8136,Clothing cutters,3.0
8137,N,813,8137,Sewing machinists,3.0
8138,N,813,8138,Routine laboratory testers,3.0
8139,N,813,8139,Assemblers and routine operatives n.e.c.,3.0
8141,N,814,8141,"Scaffolders, stagers, riggers",3.0
8142,N,814,8142,Road construction operatives,3.0
8143,N,814,8143,Rail construction and maintenance operatives,3.0
8149,N,814,8149,Construction operatives n.e.c.,3.0
8211,N,821,8211,Heavy goods vehicle drivers,3.0
8212,N,821,8212,Van drivers,3.0
8213,N,821,8213,Bus and coach drivers,3.0
8214,N,821,8214,"Taxi, cab drivers and chauffeurs",3.0
8215,N,821,8215,Driving instructors,3.0
8216,N,821,8216,Rail transport operatives,3.0
8217,N,821,8217,"Seafarers (merchant navy); barge, lighter and boat operatives",3.0
8218,N,821,8218,Air transport operatives,3.0
8219,N,821,8219,Transport operatives n.e.c.,3.0
8221,N,822,8221,Crane drivers,3.0
8222,N,822,8222,Fork-lift truck drivers,3.0
8223,N,822,8223,Agricultural machinery drivers,3.0
8229,N,822,8229,Mobile machine drivers and operatives n.e.c.,3.0
9111,N,911,9111,Farm workers,3.0
9112,N,911,9112,Forestry workers,3.0
9119,N,911,9119,Fishing and agriculture related occupations n.e.c.,3.0
9121,N,912,9121,Labourers in building and woodworking trades,3.0
9129,N,912,9129,Labourers in other construction trades n.e.c.,3.0
9131,N,913,9131,Labourers in foundries,3.0
9132,N,913,9132,Industrial cleaning process occupations,3.0
9133,N,913,9133,Printing machine minders and assistants,3.0
9134,N,913,9134,"Packers, bottlers, canners, fillers",3.0
9139,N,913,9139,Labourers in process and plant operations n.e.c.,3.0
9141,N,914,9141,"Stevedores, dockers and slingers",3.0
9149,N,914,9149,Other goods handling and storage occupations n.e.c.,3.0
9211,N,921,9211,"Postal workers, mail sorters, messengers, couriers",3.0
9219,N,921,9219,Elementary office occupations n.e.c.,3.0
9221,N,922,9221,Hospital porters,3.0
9222,N,922,9222,Hotel porters,3.0
9223,N,922,9223,Kitchen and catering assistants,3.0
9224,N,922,9224,"Waiters, waitresses",3.0
9225,N,922,9225,Bar staff,3.0
9226,N,922,9226,Leisure and theme park attendants,3.0
9229,N,922,9229,Elementary personal services occupations n.e.c.,3.0
9231,N,923,9231,Window cleaners,3.0
9232,N,923,9232,Road sweepers,3.0
9233,N,923,9233,"Cleaners, domestics",3.0
9234,N,923,9234,"Launderers, dry cleaners, pressers",3.0
9235,N,923,9235,Refuse and salvage occupations,3.0
9239,N,923,9239,Elementary cleaning occupations n.e.c.,3.0
9241,N,924,9241,Security guards and related occupations,3.0
9242,N,924,9242,Traffic wardens,3.0
9243,N,924,9243,School crossing patrol attendants,3.0
9244,N,924,9244,School mid-day assistants,3.0
9245,N,924,9245,Car park attendants,3.0
9249,N,924,9249,Elementary security occupations n.e.c.,3.0
9251,N,925,9251,Shelf fillers,3.0
9259,N,925,9259,Elementary sales occupations n.e.c.,3.0
1111001,Y,1111,1111001,AM (National Assembly),4.0
1111002,Y,1111,1111002,Ambassador (Foreign and Commonwealth Office),4.0
1111003,Y,1111,1111003,Band 0 (Health and Safety Executive),4.0
1111004,Y,1111,1111004,Band 1B (Meteorological Office),4.0
1111005,Y,1111,1111005,Band 1C (Meteorological Office),4.0
1111006,Y,1111,1111006,Clerk to the commissioners (Inland Revenue),4.0
1111007,Y,1111,1111007,Commissioner (government),4.0
1111008,Y,1111,1111008,Diplomat,4.0
1111009,Y,1111,1111009,"Director, deputy (government)",4.0
1111010,Y,1111,1111010,"Director, group (government)",4.0
1111011,Y,1111,1111011,Grade 1 (Foreign and Commonwealth Office),4.0
1111012,Y,1111,1111012,Grade 1 (government),4.0
1111013,Y,1111,1111013,Grade 2 (Foreign and Commonwealth Office),4.0
1111014,Y,1111,1111014,Grade 2 (government),4.0
1111015,Y,1111,1111015,Grade 3 (Foreign and Commonwealth Office),4.0
1111016,Y,1111,1111016,Grade 3 (government),4.0
1111017,Y,1111,1111017,Grade 4 (Foreign and Commonwealth Office),4.0
1111018,Y,1111,1111018,Grade 5 (Foreign and Commonwealth Office),4.0
1111019,Y,1111,1111019,Grade 5 (government),4.0
1111020,Y,1111,1111020,MEP,4.0
1111021,Y,1111,1111021,MP,4.0
1111022,Y,1111,1111022,MSP,4.0
1111023,Y,1111,1111023,Member of European Parliament,4.0
1111024,Y,1111,1111024,Member of Parliament,4.0
1111025,Y,1111,1111025,Member of Scottish Parliament,4.0
1111026,Y,1111,1111026,"Member, assembly (National Assembly)",4.0
1111027,Y,1111,1111027,Minister (government),4.0
1111028,Y,1111,1111028,Secretary of state,4.0
1111029,Y,1111,1111029,"Secretary, assistant (government)",4.0
1111030,Y,1111,1111030,"Secretary, deputy (government)",4.0
1111031,Y,1111,1111031,"Secretary, first",4.0
1111032,Y,1111,1111032,"Secretary, parliamentary",4.0
1111033,Y,1111,1111033,"Secretary, permanent (government)",4.0
1111034,Y,1111,1111034,"Secretary, private, parliamentary",4.0
1111035,Y,1111,1111035,"Secretary, second",4.0
1111036,Y,1111,1111036,"Secretary, under (government)",4.0
1111037,Y,1111,1111037,"Servant, civil (grade 5 and above)",4.0
1111038,Y,1111,1111038,"Servant, civil (assistant secretary and above)",4.0
1112001,Y,1112,1112001,Chairman (major organisation),4.0
1112002,Y,1112,1112002,"Chairman, company (major organisation)",4.0
1112003,Y,1112,1112003,Director (major organisation),4.0
1112004,Y,1112,1112004,"Director, company (major organisation)",4.0
1112005,Y,1112,1112005,"Director, managing (major organisation)",4.0
1112006,Y,1112,1112006,"Executive, chief (major organisation)",4.0
1112007,Y,1112,1112007,"Manager, general (major organisation)",4.0
1112008,Y,1112,1112008,President,4.0
1112009,Y,1112,1112009,"President, company",4.0
1112010,Y,1112,1112010,"President, vice",4.0
1113001,Y,1113,1113001,Clerk of the council,4.0
1113002,Y,1113,1113002,Clerk to the board (local government),4.0
1113003,Y,1113,1113003,Clerk to the council,4.0
1113004,Y,1113,1113004,Clerk to the county council,4.0
1113005,Y,1113,1113005,Clerk to the district council,4.0
1113006,Y,1113,1113006,Clerk to the parish council,4.0
1113007,Y,1113,1113007,"Clerk, chief (local government)",4.0
1113008,Y,1113,1113008,"Clerk, deputy (local government)",4.0
1113009,Y,1113,1113009,"Clerk, principal (local government)",4.0
1113010,Y,1113,1113010,"Clerk, staff (local government)",4.0
1113011,Y,1113,1113011,"Clerk, town",4.0
1113012,Y,1113,1113012,"Collector, rate, chief",4.0
1113013,Y,1113,1113013,"Collector, superintendent (local government)",4.0
1113014,Y,1113,1113014,Councillor (local government),4.0
1113015,Y,1113,1113015,Director (local government),4.0
1113016,Y,1113,1113016,"Executive, chief (local government)",4.0
1113017,Y,1113,1113017,Keeper of the Signet,4.0
1113018,Y,1113,1113018,"Manager, health, environmental",4.0
1113019,Y,1113,1113019,"Manager, project (local government)",4.0
1113020,Y,1113,1113020,"Manager, services, environmental",4.0
1113021,Y,1113,1113021,"Manager, standards, trading",4.0
1113022,Y,1113,1113022,"Manager, tax, council",4.0
1113023,Y,1113,1113023,"Officer, chief (local government)",4.0
1114001,Y,1114,1114001,"Director, charity",4.0
1114002,Y,1114,1114002,"Director, divisional (Red Cross)",4.0
1114003,Y,1114,1114003,"Executive, chief (charitable organisation)",4.0
1114004,Y,1114,1114004,Manager (charity),4.0
